Source,Target,Weight
포트,압력,0.1456473231274823
펌프,레미콘,0.14623759082747143
펌프,차량,0.14294602475107268
펌프,고정,0.13955359315249324
펌프,호퍼,0.13571077474674395
펌프,호스,0.13333314282866646
펌프,후진,0.1298837030359799
펌프,슈트,0.1288381390349099
펌프,압력,0.1276833625189758
레미콘,차량,0.062096829694686495
레미콘,고정,0.05870439809610706
레미콘,호퍼,0.05486157969035778
레미콘,호스,0.052483947772280284
레미콘,후진,0.04903450797959372
레미콘,슈트,0.04798894397852371
레미콘,압력,0.04683416746258963
차량,고정,0.0554128320197083
차량,호퍼,0.05157001361395902
차량,호스,0.049192381695881526
차량,후진,0.04574294190319496
차량,슈트,0.044697377902124955
차량,압력,0.04354260138619087
고정,호퍼,0.048177582015379576
고정,호스,0.04579995009730209
고정,후진,0.042350510304615514
고정,슈트,0.04130494630354552
고정,압력,0.040150169787611434
호퍼,호스,0.04195713169155281
호퍼,후진,0.038507691898866235
호퍼,슈트,0.03746212789779624
호퍼,압력,0.036307351381862155
호스,후진,0.03613005998078875
호스,슈트,0.035084495979718744
호스,압력,0.03392971946378466
후진,슈트,0.031635056187032176
후진,압력,0.03048027967109809
슈트,압력,0.029434715670028092
시스템,발판,0.1637924394779126
시스템,비계,0.15594360725473255
시스템,설치,0.15573942744292352
시스템,동바리,0.1386855559651364
시스템,이동식,0.13737311974927824
시스템,추락,0.12232099343904301
시스템,실족,0.11847353781553967
시스템,이동,0.11107834338271916
시스템,거푸집,0.10957955204845538
발판,비계,0.13534136670701208
발판,설치,0.13513718689520304
발판,동바리,0.1180833154174159
발판,이동식,0.11677087920155775
발판,추락,0.10171875289132254
발판,실족,0.09787129726781918
발판,이동,0.09047610283499867
발판,거푸집,0.08897731150073489
비계,설치,0.12728835467202299
비계,동바리,0.11023448319423584
비계,이동식,0.10892204697837769
비계,추락,0.09386992066814248
비계,실족,0.09002246504463912
비계,이동,0.08262727061181861
비계,거푸집,0.08112847927755483
설치,동바리,0.11003030338242681
설치,이동식,0.10871786716656866
설치,추락,0.09366574085633345
설치,실족,0.08981828523283009
설치,이동,0.08242309080000958
설치,거푸집,0.0809242994657458
동바리,이동식,0.09166399568878153
동바리,추락,0.0766118693785463
동바리,실족,0.07276441375504296
동바리,이동,0.06536921932222244
동바리,거푸집,0.06387042798795867
이동식,추락,0.07529943316268814
이동식,실족,0.0714519775391848
이동식,이동,0.06405678310636428
이동식,거푸집,0.0625579917721005
추락,실족,0.05639985122894958
추락,이동,0.04900465679612906
추락,거푸집,0.04750586546186528
실족,이동,0.04515720117262571
실족,거푸집,0.04365840983836193
이동,거푸집,0.03626321540554142
안경,미착,0.30109260064672894
안경,착용,0.2850158624027957
안경,램프,0.2668844969063996
안경,보호,0.26402954591872413
안경,지급,0.24366282819450424
안경,안전모,0.24171538182360758
안경,개인,0.238505823792489
안경,안구,0.2358181037456253
안경,일체,0.231575353398646
미착,착용,0.17490080049106815
미착,램프,0.15676943499467208
미착,보호,0.1539144840069966
미착,지급,0.13354776628277673
미착,안전모,0.13160031991188006
미착,개인,0.12839076188076148
미착,안구,0.12570304183389777
미착,일체,0.12146029148691845
착용,램프,0.1406926967507388
착용,보호,0.13783774576306335
착용,지급,0.11747102803884346
착용,안전모,0.11552358166794681
착용,개인,0.11231402363682821
착용,안구,0.10962630358996453
착용,일체,0.10538355324298519
램프,보호,0.11970638026666724
램프,지급,0.09933966254244739
램프,안전모,0.09739221617155072
램프,개인,0.09418265814043214
램프,안구,0.09149493809356844
램프,일체,0.0872521877465891
보호,지급,0.0964847115547719
보호,안전모,0.09453726518387523
보호,개인,0.09132770715275665
보호,안구,0.08863998710589295
보호,일체,0.08439723675891361
지급,안전모,0.07417054745965537
지급,개인,0.07096098942853678
지급,안구,0.06827326938167308
지급,일체,0.06403051903469376
안전모,개인,0.06901354305764013
안전모,안구,0.06632582301077643
안전모,일체,0.06208307266379709
개인,안구,0.06311626497965783
개인,일체,0.0588735146326785
안구,일체,0.05618579458581481
의사소통,신호,0.3212225678898716
의사소통,자간,0.3012580527024872
의사소통,소통,0.3001319439956308
의사소통,상호,0.2478401596617732
의사소통,부재,0.2335531379460167
의사소통,미흡,0.23182879462397837
의사소통,체계,0.23101064836752216
의사소통,인조,0.2172665948763634
의사소통,일치,0.21362962444004963
신호,자간,0.2767296830562632
신호,소통,0.27560357434940685
신호,상호,0.2233117900155493
신호,부재,0.20902476829979277
신호,미흡,0.20730042497775447
신호,체계,0.20648227872129823
신호,인조,0.19273822523013948
신호,일치,0.18910125479382567
자간,소통,0.2556390591620225
자간,상호,0.2033472748281649
자간,부재,0.1890602531124084
자간,미흡,0.18733590979037007
자간,체계,0.18651776353391386
자간,인조,0.1727737100427551
자간,일치,0.16913673960644132
소통,상호,0.20222116612130853
소통,부재,0.18793414440555203
소통,미흡,0.1862098010835137
소통,체계,0.1853916548270575
소통,인조,0.17164760133589874
소통,일치,0.16801063089958496
상호,부재,0.13564236007169445
상호,미흡,0.13391801674965612
상호,체계,0.13309987049319988
상호,인조,0.11935581700204115
상호,일치,0.11571884656572734
부재,미흡,0.11963099503389961
부재,체계,0.11881284877744339
부재,인조,0.10506879528628463
부재,일치,0.10143182484997083
미흡,체계,0.11708850545540507
미흡,인조,0.10334445196424633
미흡,일치,0.09970748152793252
체계,인조,0.10252630570779009
체계,일치,0.0988893352714763
인조,일치,0.08514528178031755
교육,안전교육,0.24695974585681976
교육,미흡,0.23874261015354725
교육,대한,0.22267355476512987
교육,방법,0.205837424130183
교육,외국인,0.20244308312659132
교육,요인,0.20188632169225662
교육,부족,0.20075049691234434
교육,관리,0.19015969119906523
교육,장소,0.18883001524916262
안전교육,미흡,0.16153744605650555
안전교육,대한,0.14546839066808814
안전교육,방법,0.12863226003314127
안전교육,외국인,0.12523791902954956
안전교육,요인,0.12468115759521488
안전교육,부족,0.12354533281530261
안전교육,관리,0.1129545271020235
안전교육,장소,0.1116248511521209
미흡,대한,0.13725125496481566
미흡,방법,0.12041512432986877
미흡,외국인,0.11702078332627708
미흡,요인,0.11646402189194238
미흡,부족,0.1153281971120301
미흡,관리,0.104737391398751
미흡,장소,0.10340771544884841
대한,방법,0.10434606894145138
대한,외국인,0.1009517279378597
대한,요인,0.100394966503525
대한,부족,0.09925914172361272
대한,관리,0.08866833601033362
대한,장소,0.08733866006043102
방법,외국인,0.0841155973029128
방법,요인,0.08355883586857811
방법,부족,0.08242301108866584
방법,관리,0.07183220537538673
방법,장소,0.07050252942548413
외국인,요인,0.08016449486498642
외국인,부족,0.07902867008507414
외국인,관리,0.06843786437179504
외국인,장소,0.06710818842189245
요인,부족,0.07847190865073944
요인,관리,0.06788110293746034
